applicant_id,age,income,credit_history_months,num_credit_accounts,debt_ratio,num_late_payments,status,target,true_good
1,18,20058.78,21,4,0.387,3,rejected,,0
2,56,40337.95,222,2,0.523,1,approved,0.0,0
3,51,23457.24,236,1,0.275,3,approved,1.0,1
4,21,70667.93,48,2,0.148,1,rejected,,1
5,69,27287.08,3,2,0.148,1,rejected,,0
6,30,20731.57,151,1,0.51,1,rejected,,1
7,32,19529.22,213,3,0.124,0,approved,1.0,1
8,28,79431.59,38,4,0.573,1,rejected,,1
9,37,40492.79,210,3,0.224,1,approved,1.0,1
10,28,28714.92,59,1,0.329,2,rejected,,0
11,37,51412.09,17,4,0.504,0,approved,0.0,0
12,64,35327.94,117,5,0.141,4,approved,1.0,1
13,43,35568.36,132,0,0.492,0,approved,1.0,1
14,70,59614.17,117,5,0.526,0,approved,1.0,1
15,43,52747.3,238,4,0.307,0,approved,1.0,1
16,33,16232.03,65,6,0.197,2,rejected,,0
17,62,37381.32,124,3,0.457,1,approved,1.0,1
18,64,56510.83,138,4,0.245,2,approved,0.0,0
19,67,42794.6,85,1,0.346,0,approved,1.0,1
20,68,39352.86,43,0,0.273,2,rejected,,0
21,19,12783.17,64,3,0.121,1,rejected,,1
22,47,62587.93,104,1,0.171,1,approved,1.0,1
23,33,25776.93,105,4,0.084,0,approved,0.0,0
24,31,36763.08,125,3,0.157,1,approved,1.0,1
25,31,55844.14,77,7,0.404,3,rejected,,0
26,64,62462.03,66,1,0.319,1,rejected,,0
27,63,24668.54,98,3,0.096,2,approved,1.0,1
28,30,45328.28,239,4,0.096,3,approved,1.0,1
29,41,29413.27,101,1,0.256,1,approved,1.0,1
30,60,35118.2,183,2,0.231,1,approved,1.0,1
31,26,38107.48,127,2,0.19,2,rejected,,0
32,53,63379.64,204,3,0.147,1,approved,1.0,1
33,43,29180.52,127,1,0.587,3,rejected,,0
34,70,82308.52,84,5,0.466,1,approved,1.0,1
35,60,43823.18,232,2,0.415,3,approved,1.0,1
36,31,11385.69,177,0,0.142,1,approved,0.0,0
37,65,35821.48,169,2,0.266,2,approved,1.0,1
