age,income,credit_history_months,num_credit_accounts,debt_ratio,num_late_payments,target,status
39,2411.779556027789,13,2,0.35120302037850243,1,0.0,approved
33,2376.2833913125205,3,3,0.3388925365868558,0,0.0,approved
41,2000.0,2,2,0.23291129546092576,1,0.0,approved
50,2527.421530569257,3,4,0.2251230317300099,1,1.0,approved
32,4300.190232893487,31,3,0.5410984032558188,1,0.0,approved
32,2000.0,1,4,0.12765123711691692,0,1.0,approved
50,5035.365153316574,14,2,0.2831002723274731,2,1.0,approved
42,3804.3004779464304,50,3,0.44005376243782374,1,0.0,approved
30,2064.995526428799,12,3,0.4691565086205485,1,0.0,approved
40,2777.3018597102937,51,4,0.28916718339047304,0,0.0,approved
30,6628.679572352561,49,2,0.15153336941339998,2,0.0,approved
30,4301.735852082286,10,4,0.5820604798660982,2,0.0,approved
37,2994.078630866202,46,2,0.2327713529402559,1,1.0,approved
20,2646.936841460507,49,3,0.13621852765668,0,1.0,approved
20,3097.3572758238115,18,4,0.25625000640783974,2,0.0,approved
29,2307.9575179601557,8,4,0.3107366270081587,0,1.0,approved
24,2000.0,26,4,0.26654549949457507,0,0.0,approved
38,8275.784134957676,91,2,0.18666171288628708,1,1.0,approved
25,3221.6937179083316,36,0,0.17175592936272688,4,0.0,approved
20,3637.579011292137,6,3,0.5787188304558077,0,1.0,approved
49,2895.8852382999266,41,2,0.568621893325827,2,1.0,approved
32,2064.0835380373323,20,3,0.23075052078226377,0,0.0,approved
35,2716.332107923673,32,1,0.20969165604662282,3,0.0,approved
20,2000.0,47,3,0.17922216099050697,1,0.0,approved
29,9307.196983259195,26,3,0.20779259171739692,1,1.0,approved
36,2000.0,60,2,0.64472069698623,3,0.0,approved
23,2000.0,46,0,0.49181242327634633,1,0.0,approved
38,2391.9647965642253,34,5,0.42129101007500463,2,0.0,approved
28,5676.203341496389,5,4,0.2790667525276451,3,0.0,approved
32,3002.661976264676,65,2,0.12782783375884743,0,0.0,approved
28,2000.0,98,2,0.16938287436157318,1,0.0,approved
53,5581.256338929838,5,2,0.15318501530383202,0,1.0,approved
34,4296.260677177055,24,2,0.029228024270398306,2,1.0,approved
24,3901.894481299767,10,5,0.3946885760320652,1,0.0,approved
43,4263.591335394844,50,6,0.3365930309757324,3,0.0,approved
22,9869.267849471275,46,3,0.5883709940908406,2,1.0,approved
37,8888.800988863562,5,3,0.12191061287037737,1,1.0,approved
20,2114.6452110540736,75,1,0.16844190107059648,2,0.0,approved
21,6713.948429061675,7,2,0.49371540619394605,0,1.0,approved
36,3610.4369936717117,57,4,0.16853580951655503,0,1.0,approved
42,3825.895773790425,21,3,0.39871483228436416,1,0.0,approved
36,2000.0,14,2,0.061744391061145695,1,0.0,approved
33,2737.5184595206233,6,3,0.06863204461888422,1,0.0,approved
31,2000.0,6,0,0.3177125065023146,0,0.0,approved
20,4509.896158219675,39,2,0.3520403147660942,1,0.0,approved
27,5092.582000606685,28,1,0.18503306122536775,0,0.0,approved
30,2000.0,4,3,0.20962537149847085,0,0.0,approved
45,2948.2957425355157,4,4,0.5182513387183952,0,0.0,approved
38,5223.540733636366,2,5,0.2596368176484737,0,1.0,approved
20,2715.3075902028563,49,1,0.029042319469350136,2,1.0,approved
38,4292.101802084846,44,6,0.3407018768830402,0,1.0,approved
31,3553.124846770212,2,1,0.2893411987683426,0,0.0,approved
28,3536.27826663417,29,1,0.40740204720628626,2,1.0,approved
41,2602.798551138828,3,1,0.062499335224139294,3,1.0,approved
45,2000.0,84,2,0.1414616127001699,1,1.0,approved
44,2000.0,85,5,0.1685410446909614,1,1.0,approved
26,4250.008480072546,43,3,0.3221299032443101,2,0.0,approved
31,3010.1016494660703,93,3,0.06461219813779735,2,1.0,approved
38,2781.495127319829,60,5,0.4193517207324464,0,0.0,approved
44,2411.622360998038,63,4,0.20070138559028924,0,1.0,approved
30,2559.0863449311573,30,2,0.17756107178988473,0,0.0,approved
33,5031.41178786461,13,1,0.3065634946249803,0,1.0,approved
23,2520.9168887346254,8,2,0.4129702391189519,1,1.0,approved
23,2000.0,14,4,0.22356965345217492,0,0.0,approved
43,4323.523128061332,35,2,0.06343570728701729,1,1.0,approved
48,2690.713470419407,6,3,0.18151236493726156,1,0.0,approved
34,3028.1220859981267,10,4,0.36968782217759844,1,0.0,approved
45,6659.4298595763385,22,5,0.1527253582489525,1,1.0,approved
38,2950.469889792247,9,0,0.1575776979731351,1,1.0,approved
28,3444.6991031108687,31,5,0.21116965636885365,0,0.0,approved
38,2000.0,92,7,0.17593800226259257,2,0.0,approved
50,2670.8853116309233,49,3,0.34634806550569935,1,0.0,approved
34,4043.0839051021853,39,3,0.41379361590262403,0,0.0,approved
50,2000.0,31,2,0.08279361175054271,2,1.0,approved
20,3295.8604355768234,24,5,0.3539953678158157,0,0.0,approved
43,3135.0347461981737,7,2,0.5054279395721879,1,0.0,approved
35,3043.1356535633604,81,5,0.09874188265699876,1,1.0,approved
32,5006.9360960626855,10,2,0.38719675900677275,0,0.0,approved
35,3523.532291817558,3,1,0.4783365450211098,0,0.0,approved
20,6241.875325706181,49,3,0.45500595363634816,1,1.0,approved
32,2000.0,6,3,0.16987518981564037,0,0.0,approved
38,3190.593675414774,16,2,0.23733349399442932,0,0.0,approved
49,3109.550289265029,1,5,0.18627993430799497,0,1.0,approved
29,2000.0,5,2,0.418031942487189,2,0.0,approved
26,4808.533837019698,6,8,0.1715978179262691,1,1.0,approved
29,9531.302423321018,2,4,0.47805673756180955,2,0.0,approved
44,2955.718249547959,38,6,0.37083740396444625,1,0.0,approved
38,3837.247317545871,65,4,0.2692810663036625,1,0.0,approved
29,3109.6306557373696,16,1,0.3370271202035232,0,0.0,approved
40,2086.4256489281474,74,6,0.09205054058227725,0,0.0,approved
35,2000.0,8,5,0.18085194826801232,1,1.0,approved
44,2094.590312734661,14,8,0.05966959881292744,0,1.0,approved
27,2000.0,5,2,0.26553804613550275,1,0.0,approved
31,6988.70839391953,34,2,0.3688580539766703,0,1.0,approved
31,2814.2333335077583,19,5,0.14606462628945616,0,1.0,approved
20,2507.4970302198717,34,4,0.2076098146709908,0,0.0,approved
37,4649.788029059637,51,4,0.11688407400882266,0,1.0,approved
37,2000.0,28,5,0.10797938965643271,1,0.0,approved
35,2031.5777379926728,35,3,0.2994136468460113,1,0.0,approved
32,3084.1646898154963,98,3,0.10676361998314617,0,1.0,approved
20,4985.976224955072,12,6,0.326907667067441,2,0.0,approved
30,3830.85204152988,16,2,0.17192953020047597,1,0.0,approved
31,3375.0403920773774,45,3,0.4980732293963518,1,0.0,approved
26,3099.6945941937624,34,3,0.2612911427022362,1,1.0,approved
33,3641.3797017769725,7,2,0.30048554422181645,2,0.0,approved
39,3297.1919222838737,16,1,0.20961950484292133,1,0.0,approved
53,2000.0,22,1,0.053226635703235686,2,0.0,approved
36,3050.435391779545,19,2,0.2250529472022402,0,0.0,approved
37,2000.0,7,2,0.2844313760579677,2,0.0,approved
34,3104.2930008452054,92,1,0.2797270075577695,0,0.0,approved
20,2344.145047829869,51,0,0.6728135619321932,3,0.0,approved
34,10611.470433385715,23,2,0.28860664075045855,0,1.0,approved
35,2922.085369854114,41,8,0.40108063049191467,1,0.0,approved
59,2000.0,81,4,0.25787736655781246,1,0.0,approved
33,2787.52642253992,5,3,0.392647526499274,0,0.0,approved
38,3864.8547243273774,10,4,0.31250697809411515,1,0.0,approved
34,6882.119656439243,28,4,0.3475703742026463,1,0.0,approved
23,2220.0251420071495,57,1,0.6979359800462522,2,0.0,approved
46,2000.0,1,6,0.258905019568355,4,0.0,approved
42,4484.662432237648,148,2,0.17882914030656707,1,1.0,approved
42,2000.0,21,1,0.22890182193833353,0,0.0,approved
25,2396.877863525831,16,7,0.25244321047129026,0,1.0,approved
49,2620.681709155173,12,3,0.14381098145689444,1,0.0,approved
20,2878.9567656266718,6,3,0.21933849318138274,3,0.0,approved
40,4207.324561309511,56,5,0.3424049513249746,1,1.0,approved
56,2117.905396761824,111,2,0.3897674254513486,3,0.0,approved
25,2599.6585121860403,19,2,0.24343850867647115,0,0.0,approved
29,2959.764026979768,109,1,0.35278122031386094,0,1.0,approved
35,3212.4815267515064,62,3,0.5536357069122749,0,0.0,approved
29,3130.3922255290227,23,2,0.061401766672189016,0,0.0,approved
20,3707.0915064246747,40,8,0.21241143308714186,2,1.0,approved
35,4545.62156310907,20,0,0.19034764611321522,1,0.0,approved
24,3627.565560643492,29,5,0.17660641179587044,0,0.0,approved
39,3739.8200031656957,2,1,0.3013262348704206,0,0.0,approved
25,2000.0,42,4,0.07125686922266719,1,1.0,approved
50,3056.7692898606856,1,2,0.36587729518917506,3,0.0,approved
27,3788.6073396869956,61,4,0.08918043572828964,1,1.0,approved
31,4291.839025269472,62,4,0.32704311072767644,0,1.0,approved
43,2108.6951289784943,9,3,0.15799756126020073,0,1.0,approved
22,2144.1111486234954,14,2,0.6053858578832173,0,0.0,approved
37,2237.13131769607,23,1,0.4823537902997797,0,0.0,approved
48,3897.953496662485,32,2,0.22140812722404854,1,0.0,approved
20,4998.736839813578,12,1,0.2543504953755711,0,0.0,approved
36,2431.5153586434435,32,2,0.4755729383799297,2,0.0,approved
37,4693.722031440271,12,1,0.4966455773324026,2,1.0,approved
42,3170.8022310368474,2,1,0.5708346426486858,1,0.0,approved
22,2801.3510885820315,1,3,0.569489620718991,1,0.0,approved
21,2681.972700729804,3,1,0.18759009715908123,0,0.0,approved
40,4329.925790084601,56,3,0.39769506953561645,0,1.0,approved
37,3507.956342865987,117,2,0.3148610584219532,1,1.0,approved
37,9301.330317685508,20,3,0.5525616982383149,3,0.0,approved
38,2000.0,25,2,0.4706018466509048,0,0.0,approved
28,3862.426342089552,5,4,0.2024440123415076,0,1.0,approved
37,2287.9225355677227,28,1,0.5344901680558225,1,0.0,approved
37,2000.0,5,3,0.09323761376253024,1,0.0,approved
27,2964.8046723844463,34,3,0.2778360020418623,2,0.0,approved
53,3192.8724325834005,97,4,0.3517125906422743,5,0.0,approved
39,12824.16778057575,7,4,0.5621299059313072,3,1.0,approved
23,2718.74890521779,52,4,0.21619952775230428,1,0.0,approved
41,2000.0,1,3,0.3627367049159878,1,0.0,approved
25,3416.9559436452255,16,4,0.1624313943923832,1,0.0,approved
42,2000.0,4,5,0.5675871218546604,2,0.0,approved
46,2847.001484482642,15,3,0.48161732889794395,0,0.0,approved
26,3004.9392821191377,6,3,0.10823296564986215,1,0.0,approved
44,4435.0767116562165,16,2,0.18365373618662598,2,0.0,approved
39,4850.374147225435,19,3,0.32654056823056743,1,0.0,approved
43,2317.432545755156,12,4,0.2756256870689626,0,0.0,approved
53,2764.7154373286007,38,2,0.2860657278142484,0,1.0,approved
32,2032.3328200776914,90,7,0.06639418538467698,3,1.0,approved
27,2000.0,18,4,0.15686781391618076,0,1.0,approved
26,3480.5562073323426,7,2,0.05591660838077397,1,0.0,approved
26,2000.0,11,2,0.2301343251260543,2,0.0,approved
34,2422.8178672643917,69,1,0.03024861608109771,0,1.0,approved
38,2000.0,30,2,0.32231059164335424,1,0.0,approved
37,3923.9010083812163,21,3,0.17710749688513128,3,0.0,approved
43,7337.21813899725,5,6,0.2503202826063204,0,1.0,approved
35,2000.0,21,5,0.30365505795062236,3,0.0,approved
49,2000.0,11,3,0.3753368367133764,0,0.0,approved
32,2800.5092575583612,103,2,0.3453014206833884,1,0.0,approved
62,3004.447284121086,77,4,0.3502377644884,2,1.0,approved
41,3325.3481466851226,3,2,0.05419655134152047,2,0.0,approved
26,2384.726549336376,26,3,0.5353897396685495,1,0.0,approved
24,2696.420281340085,9,4,0.16604270482095373,4,0.0,approved
39,3582.2816374024214,19,1,0.2529538735820342,1,0.0,approved
32,5015.134132614556,75,9,0.2850915981445179,1,1.0,approved
42,2000.0,26,4,0.2794657970205815,2,0.0,approved
39,2478.801064387817,14,3,0.37894936753449276,1,1.0,approved
34,3317.293096512403,8,3,0.28471627867208127,3,0.0,approved
26,2000.0,57,2,0.4179565309914257,1,0.0,approved
20,7083.934947791571,35,2,0.4698479495159238,1,1.0,approved
30,2169.59340906799,22,4,0.29087901667643223,2,1.0,approved
43,2920.043103121497,8,2,0.21951679317527645,2,1.0,approved
37,3936.3573666425277,14,2,0.27060508177969483,2,1.0,approved
22,2217.992098807699,115,2,0.44400775692795524,2,0.0,approved
36,2000.0,26,3,0.11972157413086444,1,0.0,approved
38,2405.88412984728,18,2,0.34399783854906174,1,1.0,approved
26,4987.650708394383,26,3,0.008874574720325658,0,1.0,approved
36,2518.8366739769585,54,3,0.2390736242493994,0,1.0,approved
35,2000.0,14,3,0.18746449658023842,0,1.0,approved
23,4735.469257637275,7,3,0.49789844147863094,2,0.0,approved
